ID,First_Name,Last_Name,Pos1,Pos2,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Salary
adamsst01,Steven,Adams,C,C,26,OKC,63,63,1680,8.2,13.8,0.592,0,0.1,0.333,8.2,13.7,0.594,3.4,5.8,0.582,6,10.9,16.9,4.2,1.5,1.9,2.7,3.5,19.8,122,106,20.5,0.604,0.006,0.421,14,24,19.2,13.2,1.5,3.4,14.2,17.3,3.8,2.7,6.5,0.185,1.9,1.1,2.9,2.1,25842697
adebaba01,Bam,Adebayo,C,PF,22,MIA,72,72,2417,8.9,16,0.557,0,0.3,0.143,8.8,15.7,0.564,5.3,7.7,0.691,3.6,11.3,14.8,7.4,1.7,1.9,4.1,3.7,23.1,116,106,20.3,0.598,0.018,0.484,8.5,24.9,17,24.2,1.7,3.8,17.6,21.2,4.6,3.9,8.5,0.168,1.4,2,3.4,3.3,3454080
aldrila01,LaMarcus,Aldridge,PF,C,34,SAS,53,53,1754,10.7,21.6,0.493,1.7,4.3,0.389,9,17.3,0.519,4.3,5.2,0.827,2.8,7.9,10.7,3.5,1,2.4,2,3.5,27.3,115,112,19.7,0.571,0.198,0.241,6.3,17.8,12,11.4,1,4.4,7.8,23.4,3,1.4,4.5,0.122,1.8,-0.5,1.4,1.5,26000000
alexaky01,Kyle,Alexander,PF,C,23,MIA,2,0,13,3.8,7.5,0.5,0,0,0,3.8,7.5,0.5,0,0,0,7.5,3.8,11.3,0,0,0,3.8,3.8,7.5,96,116,4.7,0.5,0,0,17.9,8.3,12.9,0,0,0,33.3,10.2,0,0,0,-0.003,-6.1,-3.5,-9.6,0,79568
alexani01,Nickeil,Alexander-Walker,SG,PG,21,NOP,47,1,591,7.7,20.8,0.368,3.6,10.4,0.346,4.1,10.4,0.391,2,2.9,0.676,0.7,5.9,6.6,7,1.3,0.6,4.2,4.5,20.9,93,113,8.9,0.473,0.5,0.139,1.6,13.5,7.5,21.1,1.3,1.1,16.1,23.3,-0.7,0.4,-0.2,-0.02,-3.2,-1.4,-4.6,-0.4,2964840
allengr01,Grayson,Allen,SG,SF,24,MEM,38,0,718,7.6,16.3,0.466,3.7,9.2,0.404,3.9,7.2,0.545,2.5,2.9,0.867,0.5,5,5.5,3.4,0.7,0.1,2.1,3.4,21.5,114,115,12,0.609,0.562,0.179,1.2,11.1,6.2,10,0.7,0.2,10.9,17.6,0.8,0.4,1.2,0.082,-0.1,-1.2,-1.3,0.1,2429400
allenja01,Jarrett,Allen,C,C,21,BRK,70,64,1852,7.7,11.9,0.649,0,0.2,0,7.7,11.7,0.658,4.4,6.9,0.633,5.5,11.6,17.1,2.8,1,2.4,2,4.1,19.8,132,106,20.7,0.664,0.013,0.581,12.3,24.9,18.7,8.9,1,4.2,11.7,14.9,5.2,2.9,8.2,0.212,1.4,1,2.3,2,2376840
allenka01,Kadeem,Allen,SG,PG,27,NYK,10,0,117,7.9,18.3,0.432,2.1,6.7,0.313,5.8,11.7,0.5,2.9,4.6,0.636,0.8,2.9,3.7,8.7,2.1,0.8,3.3,2.9,20.8,106,114,14,0.512,0.364,0.25,1.8,6.6,4.1,27,2.1,1.6,14.1,20.6,0.1,0.1,0.1,0.053,-0.1,-0.6,-0.7,0,9258000
aminual01,Al-Farouq,Aminu,PF,SF,29,ORL,18,2,380,3.2,11,0.291,1.2,4.6,0.25,2,6.4,0.32,2.4,3.7,0.655,3.1,8.1,11.1,2.7,2.3,1,2.2,3.5,10,88,108,7.6,0.395,0.419,0.337,6.6,18.4,12.3,7.4,2.3,1.9,14.7,13.2,-0.4,0.5,0.1,0.014,-4.4,1.4,-3,-0.1,98144
anderju01,Justin,Anderson,SF,SG,26,BRK,10,1,107,4.4,16.8,0.263,2.7,12.8,0.207,1.8,4,0.444,0.9,1.8,0.5,0.4,8.8,9.3,3.5,0,2.7,1.8,5.7,12.4,78,109,3.2,0.352,0.763,0.105,1,18.9,10.2,10.1,0,4.7,9.1,17.1,-0.2,0.1,-0.1,-0.054,-6.8,-0.9,-7.7,-0.2,196288
anderky01,Kyle,Anderson,PF,SF,26,MEM,67,28,1330,5.5,11.6,0.474,0.8,3,0.282,4.7,8.6,0.541,1.8,2.7,0.667,2,8,10,5.7,1.9,1.3,2.3,3.9,13.7,109,109,12.5,0.534,0.257,0.236,4.7,17.6,11.3,15.9,1.9,2.4,15.3,13.5,0.9,1.7,2.5,0.091,-1.5,2,0.5,0.9,9073050
anderry01,Ryan,Anderson,C,PF,31,HOU,2,0,14,6.6,23.1,0.286,3.3,16.5,0.2,3.3,6.6,0.5,0,0,0,0,23.1,23.1,6.6,3.3,0,3.3,3.3,16.5,78,98,9.4,0.357,0.714,0,0,52.9,26.2,20.4,3.3,0,12.5,23.7,0,0,0,-0.037,-3.3,0.5,-2.8,0,5214583
antetgi01,Giannis,Antetokounmpo,PF,C,25,MIL,63,63,1917,16.3,29.5,0.553,2.1,7,0.304,14.2,22.5,0.631,9.5,15,0.633,3.3,17.1,20.4,8.4,1.5,1.6,5.5,4.6,44.2,116,97,31.9,0.613,0.237,0.508,7.7,34.8,22.1,34.2,1.5,3,13.2,37.5,6.1,5,11.1,0.279,7.4,4.1,11.5,6.6,25842697
antetko01,Kostas,Antetokounmpo,PF,SF,22,LAL,5,0,20,7.1,7.1,1,0,0,0,7.1,7.1,1,2.4,4.8,0.5,4.8,2.4,7.1,4.8,0,0,2.4,4.8,16.6,153,115,16.3,0.902,0,0.667,11.1,5.4,8.2,13.7,0,0,20.5,10.3,0.1,0,0.1,0.193,0.2,-0.9,-0.7,0,4990000
antetth01,Thanasis,Antetokounmpo,SF,SG,27,MIL,20,2,129,8.5,17,0.5,0,3.5,0,8.5,13.5,0.632,2.5,6,0.412,4.2,4.2,8.5,5.3,2.5,0.7,4.2,6.4,19.5,98,103,12.2,0.496,0.208,0.354,9.8,8.7,9.2,16.3,2.5,1.4,17.8,21.6,-0.1,0.2,0.2,0.07,-4.6,1.4,-3.2,0,1445697
anthoca01,Carmelo,Anthony,PF,SF,35,POR,58,58,1902,8.4,19.6,0.43,2.2,5.7,0.385,6.2,13.9,0.448,3.4,4,0.845,1.8,7.4,9.2,2.1,1.2,0.7,2.5,4.3,22.4,104,115,12.4,0.525,0.289,0.206,4,16.1,10.1,6.4,1.2,1.2,10.5,21.2,0.4,0.9,1.3,0.033,-1.8,-1.8,-3.6,-0.8,2159029
anunoog01,OG,Anunoby,SF,PF,22,TOR,69,68,2066,6.6,13,0.505,2,5.2,0.39,4.5,7.8,0.583,1.7,2.3,0.706,1.8,6.5,8.4,2.5,2.2,1,1.8,3.8,16.9,114,104,13.2,0.6,0.403,0.18,4.2,14.2,9.3,7.5,2.2,2.1,11.5,14.3,2.1,3.7,5.7,0.134,-0.8,1.9,1.2,1.7,2281800
